n,Naive,McCreight,Search10,Search100,Search1000
100000,2.9050976333480016,1.3961236999602988,1.3999912577370803e-06,3.00002284348011e-07,2.66668697198232e-07
200000,3.090499933323978,3.0806154666546113,1.2333427245418231e-06,2.66668697198232e-07,2.00001522898674e-07
300000,5.01699943334097,4.8956160333473235,1.3999912577370803e-06,3.00002284348011e-07,2.999828817943732e-07
400000,6.7191527666485245,6.825500399999631,1.2333427245418231e-06,2.666492946445942e-07,3.00002284348011e-07
500000,9.694829233320585,9.08361979998881,1.2999904962877433e-06,2.33335110048453e-07,2.666492946445942e-07
600000,11.174849933343163,12.309154433334092,1.400010660290718e-06,2.66668697198232e-07,2.66668697198232e-07
700000,13.863382333346332,15.7639238666549,1.2333233219881852e-06,3.00002284348011e-07,2.66668697198232e-07
800000,16.732840766664594,17.389540633322515,1.1999897348384063e-06,2.33335110048453e-07,2.00001522898674e-07
900000,16.785237633351546,17.742564199977398,1.2666569091379642e-06,2.33335110048453e-07,3.00002284348011e-07
1000000,19.134176100002758,19.93912559999929,1.2333427245418231e-06,3.00002284348011e-07,2.00001522898674e-07
