m,n=100000,n=1000000,n=10000000
10,4.199973773211241e-06,9.00006853044033e-07,6.00004568696022e-07
20,2.300017513334751e-06,8.00006091594696e-07,5.00003807246685e-07
30,2.1999585442245007e-06,4.00003045797348e-07,3.00002284348011e-07
40,2.400018274784088e-06,7.999478839337826e-07,6.00004568696022e-07
50,2.300017513334751e-06,9.00006853044033e-07,6.00004568696022e-07
60,2.2999593056738377e-06,8.00006091594696e-07,5.999463610351086e-07
70,2.300017513334751e-06,8.999486453831196e-07,5.00003807246685e-07
80,3.100023604929447e-06,4.00003045797348e-07,3.00002284348011e-07
90,3.700028173625469e-06,3.00002284348011e-07,3.00002284348011e-07
100,3.89997148886323e-06,4.00003045797348e-07,2.00001522898674e-07
110,1.400010660290718e-06,4.00003045797348e-07,2.00001522898674e-07
120,2.800021320581436e-06,3.00002284348011e-07,2.00001522898674e-07
130,2.600019797682762e-06,3.00002284348011e-07,1.9994331523776054e-07
140,1.100008375942707e-06,4.00003045797348e-07,3.00002284348011e-07
150,1.00000761449337e-06,4.00003045797348e-07,3.00002284348011e-07
160,1.00000761449337e-06,4.00003045797348e-07,2.00001522898674e-07
170,1.100008375942707e-06,4.00003045797348e-07,2.00001522898674e-07
180,1.00000761449337e-06,4.00003045797348e-07,2.00001522898674e-07
190,1.200009137392044e-06,3.00002284348011e-07,3.00002284348011e-07
200,1.0999501682817936e-06,4.00003045797348e-07,2.00001522898674e-07
210,1.1999509297311306e-06,3.00002284348011e-07,3.00002284348011e-07
220,1.1999509297311306e-06,4.00003045797348e-07,2.00001522898674e-07
230,1.0999501682817936e-06,4.00003045797348e-07,2.00001522898674e-07
240,1.100008375942707e-06,3.00002284348011e-07,3.00002284348011e-07
250,1.100008375942707e-06,4.00003045797348e-07,2.00001522898674e-07
260,1.100008375942707e-06,4.00003045797348e-07,2.9994407668709755e-07
270,1.400010660290718e-06,4.00003045797348e-07,3.00002284348011e-07
280,1.100008375942707e-06,4.00003045797348e-07,3.00002284348011e-07
290,9.999494068324566e-07,4.00003045797348e-07,3.00002284348011e-07
300,1.00000761449337e-06,3.00002284348011e-07,3.00002284348011e-07
310,1.100008375942707e-06,2.00001522898674e-07,2.00001522898674e-07
320,1.00000761449337e-06,3.00002284348011e-07,3.00002284348011e-07
330,1.00000761449337e-06,3.00002284348011e-07,3.00002284348011e-07
340,1.100008375942707e-06,2.00001522898674e-07,2.00001522898674e-07
350,1.200009137392044e-06,4.00003045797348e-07,4.00003045797348e-07
360,1.100008375942707e-06,2.00001522898674e-07,2.00001522898674e-07
370,3.0999653972685337e-06,5.00003807246685e-07,4.00003045797348e-07
380,2.200016751885414e-06,3.00002284348011e-07,2.00001522898674e-07
390,1.3999524526298046e-06,4.00003045797348e-07,2.00001522898674e-07
400,1.200009137392044e-06,2.00001522898674e-07,3.00002284348011e-07
410,1.600012183189392e-06,3.00002284348011e-07,3.00002284348011e-07
420,1.700012944638729e-06,3.00002284348011e-07,3.00002284348011e-07
430,1.600012183189392e-06,3.00002284348011e-07,3.00002284348011e-07
440,1.100008375942707e-06,2.00001522898674e-07,2.00001522898674e-07
450,1.100008375942707e-06,2.00001522898674e-07,3.00002284348011e-07
460,1.200009137392044e-06,3.00002284348011e-07,2.00001522898674e-07
470,1.200009137392044e-06,3.00002284348011e-07,3.00002284348011e-07
480,1.100008375942707e-06,3.00002284348011e-07,2.00001522898674e-07
490,1.300009898841381e-06,3.00002284348011e-07,3.00002284348011e-07
500,1.200009137392044e-06,3.00002284348011e-07,2.00001522898674e-07
510,1.200009137392044e-06,3.00002284348011e-07,3.00002284348011e-07
520,1.100008375942707e-06,3.00002284348011e-07,3.00002284348011e-07
530,1.100008375942707e-06,2.00001522898674e-07,3.00002284348011e-07
540,1.00000761449337e-06,3.00002284348011e-07,3.00002284348011e-07
550,1.00000761449337e-06,3.00002284348011e-07,3.00002284348011e-07
560,1.00000761449337e-06,2.00001522898674e-07,2.00001522898674e-07
570,1.00000761449337e-06,2.00001522898674e-07,2.00001522898674e-07
580,1.00000761449337e-06,3.00002284348011e-07,2.00001522898674e-07
590,1.00000761449337e-06,2.00001522898674e-07,1.9994331523776054e-07
600,1.00000761449337e-06,3.00002284348011e-07,2.00001522898674e-07
610,1.100008375942707e-06,2.00001522898674e-07,2.00001522898674e-07
620,1.00000761449337e-06,3.00002284348011e-07,2.9994407668709755e-07
630,1.00000761449337e-06,2.9994407668709755e-07,2.00001522898674e-07
640,1.200009137392044e-06,3.00002284348011e-07,3.00002284348011e-07
650,2.4999608285725117e-06,3.00002284348011e-07,3.00002284348011e-07
660,1.200009137392044e-06,3.00002284348011e-07,3.00002284348011e-07
670,1.1999509297311306e-06,3.00002284348011e-07,3.00002284348011e-07
680,1.200009137392044e-06,3.00002284348011e-07,3.00002284348011e-07
690,1.100008375942707e-06,3.00002284348011e-07,3.00002284348011e-07
700,1.00000761449337e-06,3.00002284348011e-07,1.9994331523776054e-07
710,1.00000761449337e-06,3.00002284348011e-07,2.00001522898674e-07
720,1.00000761449337e-06,3.00002284348011e-07,3.00002284348011e-07
730,9.999494068324566e-07,2.00001522898674e-07,3.00002284348011e-07
740,3.4999684430658817e-06,4.00003045797348e-07,3.00002284348011e-07
750,1.5999539755284786e-06,2.00001522898674e-07,2.00001522898674e-07
760,2.700020559132099e-06,3.00002284348011e-07,2.00001522898674e-07
770,1.100008375942707e-06,3.00002284348011e-07,2.00001522898674e-07
780,1.00000761449337e-06,3.00002284348011e-07,3.00002284348011e-07
790,1.00000761449337e-06,3.00002284348011e-07,3.00002284348011e-07
800,1.00000761449337e-06,2.00001522898674e-07,2.00001522898674e-07
810,1.00000761449337e-06,3.00002284348011e-07,3.00002284348011e-07
820,1.00000761449337e-06,2.00001522898674e-07,3.00002284348011e-07
830,1.100008375942707e-06,3.00002284348011e-07,2.00001522898674e-07
840,1.00000761449337e-06,3.00002284348011e-07,2.00001522898674e-07
850,1.100008375942707e-06,3.00002284348011e-07,3.00002284348011e-07
860,1.0999501682817936e-06,2.00001522898674e-07,2.00001522898674e-07
870,1.300009898841381e-06,3.00002284348011e-07,3.00002284348011e-07
