m,n=100000,n=1000000,n=10000000
100,5.900044925510883e-06,5.00003807246685e-07,3.00002284348011e-07
200,1.800013706088066e-06,4.00003045797348e-07,3.00002284348011e-07
300,5.09992241859436e-06,5.00003807246685e-07,4.00003045797348e-07
400,4.500034265220165e-06,5.00003807246685e-07,3.998866304755211e-07
500,4.200031980872154e-06,5.00003807246685e-07,3.998866304755211e-07
600,2.900022082030773e-06,4.00003045797348e-07,5.00003807246685e-07
700,3.100023604929447e-06,4.00003045797348e-07,3.00002284348011e-07
800,3.300025127828121e-06,4.00003045797348e-07,4.00003045797348e-07
900,3.5999109968543053e-06,4.00003045797348e-07,4.00003045797348e-07
1000,4.300032742321491e-06,4.00003045797348e-07,4.00003045797348e-07
1100,4.800036549568176e-06,5.00003807246685e-07,4.00003045797348e-07
1200,3.900029696524143e-06,6.00004568696022e-07,5.00003807246685e-07
1300,1.999898813664913e-06,4.00003045797348e-07,4.00003045797348e-07
1400,4.900037311017513e-06,4.00003045797348e-07,3.00002284348011e-07
1500,5.300040356814861e-06,6.00004568696022e-07,3.00002284348011e-07
1600,2.800021320581436e-06,5.00003807246685e-07,4.00003045797348e-07
1700,2.700020559132099e-06,8.00006091594696e-07,4.00003045797348e-07
1800,2.600019797682762e-06,4.998873919248581e-07,4.00003045797348e-07
1900,2.00001522898674e-06,4.00003045797348e-07,4.00003045797348e-07
2000,1.800013706088066e-06,5.00003807246685e-07,1.700012944638729e-06
2100,2.300017513334751e-06,3.00002284348011e-07,4.00003045797348e-07
2200,3.2999087125062943e-06,5.00003807246685e-07,1.100008375942707e-06
2300,2.600019797682762e-06,4.00003045797348e-07,4.00003045797348e-07
2400,1.999898813664913e-06,7.00005330145359e-07,4.00003045797348e-07
2500,4.900037311017513e-06,5.00003807246685e-07,4.00003045797348e-07
2600,3.00002284348011e-06,3.00002284348011e-07,2.00001522898674e-07
2700,2.400018274784088e-06,4.00003045797348e-07,4.00003045797348e-07
2800,2.600019797682762e-06,7.00005330145359e-07,4.00003045797348e-07
2900,3.600027412176132e-06,4.00003045797348e-07,4.00003045797348e-07
3000,2.7999049052596092e-06,6.00004568696022e-07,4.00003045797348e-07
3100,2.00001522898674e-06,6.00004568696022e-07,5.00003807246685e-07
3200,2.800021320581436e-06,4.00003045797348e-07,4.00003045797348e-07
3300,4.100031219422817e-06,5.00003807246685e-07,6.00004568696022e-07
3400,4.100031219422817e-06,1.8998980522155762e-06,5.00003807246685e-07
3500,4.00003045797348e-06,4.00003045797348e-07,4.00003045797348e-07
3600,2.900022082030773e-06,6.00004568696022e-07,4.00003045797348e-07
3700,1.9000144675374031e-06,5.00003807246685e-07,5.00003807246685e-07
3800,2.100015990436077e-06,4.00003045797348e-07,4.00003045797348e-07
3900,2.499902620911598e-06,4.00003045797348e-07,3.00002284348011e-07
4000,5.400041118264198e-06,4.00003045797348e-07,5.00003807246685e-07
4100,5.800044164061546e-06,4.00003045797348e-07,4.00003045797348e-07
4200,1.600012183189392e-06,5.00003807246685e-07,4.00003045797348e-07
4300,2.300017513334751e-06,5.00003807246685e-07,3.998866304755211e-07
4400,4.499917849898338e-06,1.00000761449337e-06,4.00003045797348e-07
4500,4.300032742321491e-06,4.00003045797348e-07,4.00003045797348e-07
4600,5.100038833916187e-06,4.00003045797348e-07,4.00003045797348e-07
4700,6.199930794537067e-06,4.00003045797348e-07,5.00003807246685e-07
4800,4.100031219422817e-06,5.00003807246685e-07,4.00003045797348e-07
4900,4.700035788118839e-06,3.00002284348011e-07,1.9000144675374031e-06
5000,5.700043402612209e-06,5.00003807246685e-07,4.00003045797348e-07
5100,5.799927748739719e-06,7.00005330145359e-07,4.00003045797348e-07
5200,5.00003807246685e-06,6.00004568696022e-07,4.00003045797348e-07
5300,6.299931555986404e-06,5.00003807246685e-07,5.00003807246685e-07
5400,4.999921657145023e-06,5.00003807246685e-07,4.00003045797348e-07
5500,1.4499993994832039e-05,6.00004568696022e-07,4.00003045797348e-07
5600,5.699926987290382e-06,5.00003807246685e-07,4.00003045797348e-07
5700,4.799920134246349e-06,5.00003807246685e-07,4.00003045797348e-07
5800,5.600042641162872e-06,5.00003807246685e-07,4.00003045797348e-07
5900,6.600050255656242e-06,6.00004568696022e-07,3.00002284348011e-07
6000,5.800044164061546e-06,6.00004568696022e-07,4.00003045797348e-07
